deeplink,Domain,host,tld,domaincc,keywords,LE,BL,DP,LP,CCP,IPP,ABY,ACR,WBY,Registrar,Alexa,QCR,Dmoz,Yaca,Add Date,C,N,O,B,I,D,US,COM.AU,CA,UK,CO.UK,CO,EU,IN,CO.IN,AT,CH,BE,NL,DK,FR,PL,ES,PT,IT,ME,TV,IO,CN,RU,SE,NU,Reg,Reg32,Free32,SG,CO,CPC,SDE,CODE,CPCDE,SUS,COUS,CPCUS,SUK,COUK,CPCUK,MMGR,MMIP,MMCP,SQI,NFB,NTW,CF,TF,TR,MBL,MIU,MCU,MDP,MIP,MCP,TTF,MODE,MOLE,MOLI,MOLP,MRDL,MRDF,MRDH,MRDD,MRDS,ML,MLTP,MRL,MRLP,MDPE,MBLE,MDPG,MBLG,MDPEE,MBLEE,MDPGE,MBLGE,SRUSR,SRUSK,SRUST,SRUSC,RDT,RDS,RDE,RDT COM,RDS COM,RDE COM,RDT CNO,RDS CNO,RDE CNO,WPL,GEO,GEOC,GEOD,Price,currency,Bids,Traffic,Valuation,Endtime
https://www.expireddomains.net/goto/1/6xg9i/21/?tr=export,expireddomains.com,expireddomains,com,ExpiredDomains.com,Expired Domains,14,214455,320,83991,30,20,10/17/2000,976,11/10/1999,"GoDaddy.com, LLC",546565,0,no,no,7/5/2015,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,available,registered,registered,registered,available,registered,registered,registered,registered,registered,registered,registered,available,52,28,4,33100,19,2.35 USD,880,20,4.68 EUR,4400,24,5.33 USD,1900,40,4.11 GBP,0,0,0,0,taken,taken,42,13,3.23,214455,83953,82245,482,143,138,"13 - Computers/Internet/Domain Names (72.82%), 10 - Computers/Internet/On the Web (11.19%), 10 - Computers/Software/Presentation (10.58%), 8 - Computers/Internet/News and Media (1.69%), 7 - Arts/Literature (0.23%)",1,3,0,76976,461,416,15,444,61,"[English - 94.00%], [German - 5.00%]",10,[English - 99.00%],182136,0,0,0,0,0,0,0,0,1393455,628,442,236,107,59,48,86,50,37,101,57,44,0,,,,20,USD,1783,0,0,12/30/2019 07:00
https://www.expireddomains.net/goto/1/eid3u3/21/?tr=export,trickname.com,trickname,com,TrickName.com,Trick Name,9,0,0,0,0,0,0000-00-00,0,9/22/2019,"DYNADOT, LLC",0,0,no,no,9/29/2019,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,1,0,32,210,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,taken,taken,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,499,USD,1025,0,0,12/26/2019 16:23
https://www.expireddomains.net/goto/1/9gjgv/21/?tr=export,merchantdigital.com,merchantdigital,com,MerchantDigital.com,Merchant Digital,15,4401,49,838,0,37,10/27/2005,287,4/12/2005,"GoDaddy.com, LLC",0,0,no,no,9/18/2011,registered,available,available,available,available,available,available,available,available,available,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,2,2,30,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,995221,487,414,0,taken,taken,24,21,1.14,4401,90,57,139,128,111,"17 - Recreation/Outdoors (16.51%), 17 - Shopping/Home and Garden (12.56%), 17 - Shopping/Auctions (10.81%), 17 - Recreation/Guns (10.01%), 16 - Arts/Crafts (9.26%)",2,2,13,31,135,119,26,139,36,[English - 100.00%],19,"[English - 97.00%], [Dutch/Flemish - 0.00%], [Spanish/Castilian - 0.00%], [French - 0.00%], [German - 0.00%]",7892,0,0,0,0,0,0,0,0,48177952,3,0,0,4,3,1,3,3,1,4,3,1,0,,,,20,USD,892,0,0,1/31/2020 12:03
https://www.expireddomains.net/goto/1/klq61/21/?tr=export,dubb.com,dubb,com,Dubb.com,Dubb,4,20596,26,104,0,11,2/23/2001,84,2/22/2001,"GoDaddy.com, LLC",52367,0,no,no,2/5/2016,registered,registered,registered,available,registered,registered,available,available,registered,registered,registered,registered,available,registered,available,available,available,available,registered,available,available,available,available,available,registered,registered,available,registered,registered,registered,registered,available,35,17,15,6600,5,0.44 USD,140,0,0.00 EUR,1300,0,0.09 USD,260,1,0.00 GBP,791320,406,378,10,available,taken,30,21,1.43,20596,11852,11238,583,401,377,"20 - Health/Alternative (55.17%), 19 - Regional/Europe (39.63%), 15 - Business/Financial Services (3.97%), 13 - Society/Issues (1.01%), 10 - Business/Real Estate (0.13%)",2,3,9,9981,545,490,161,537,368,[English - 99.00%],0,"[German - 51.00%], [English - 39.00%], [Spanish/Castilian - 8.00%]",0,0,0,0,0,0,0,0,0,0,0,0,0,1647,1477,170,1393,1238,156,1582,1415,167,0,,,,"50,000",USD,684,0,0,2/3/2020 07:00
https://www.expireddomains.net/goto/1/ajwa0/21/?tr=export,ivb.com,ivb,com,ivb.com,ivb,3,13,0,0,0,0,12/5/1998,105,1/28/1997,"GoDaddy.com, LLC",0,0,no,no,2/16/2018,registered,registered,registered,registered,registered,registered,registered,available,registered,available,registered,available,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,available,registered,registered,available,registered,registered,registered,registered,available,60,25,7,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,taken,5,0,0,13,11,6,6,6,6,-,0,0,0,0,5,6,0,6,4,,0,"[English - 46.00%], [Russian - 30.00%], [Japanese - 15.00%], [Greek (modern) - 7.00%]",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,20,USD,668,0,0,2/13/2020 07:00
https://www.expireddomains.net/goto/1/654dy/21/?tr=export,1choice4yourstore.com,1choice4yourstore,com,1Choice4YourStore.com,Choice Your Store,17,432410,532,1302,55,34,6/10/2006,497,2/22/2006,"GoDaddy.com, LLC",0,0,no,no,5/12/2016,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,1,1,31,0,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,available,31,31,1,432410,100,17,589,167,158,"25 - Shopping/Clothing (22.62%), 25 - Shopping/Consumer Electronics (22.32%), 25 - Shopping/Health (20.93%), 23 - Shopping/Home and Garden (10.57%), 22 - Sports/Equestrian (7.16%)",0,0,0,0,558,557,133,589,77,[English - 100.00%],944,[English - 99.00%],483860,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,1,1,0,,,,20,USD,517,0,0,1/19/2020 21:00
https://www.expireddomains.net/goto/1/llb9i/21/?tr=export,xxz.com,xxz,com,xxz.com,xxz,3,9,1,1,3,1,1/17/1999,151,5/27/2003,"GoDaddy.com, LLC",0,0,no,no,6/17/2013,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,available,registered,registered,registered,available,available,registered,available,registered,registered,registered,registered,available,available,registered,registered,registered,registered,registered,registered,registered,available,60,24,8,165000,0,0.06 USD,0,0,0.00 EUR,4400,0,0.02 USD,880,0,0.00 GBP,0,0,0,0,available,taken,4,4,1,9,18,6,5,5,5,"4 - Society/Issues (89.68%), 3 - Society/People (9.74%), 2 - Games/Video Games (0.37%), 1 - Games/Video Games/Adventure (0.07%), 1 - Computers/Data Formats (0.04%)",0,0,0,0,5,4,1,5,1,,0,"[English - 50.00%], [Chinese - 25.00%], [Japanese - 12.00%], [Korean - 12.00%]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"49,000",USD,460,0,0,2/5/2020 13:37
https://www.expireddomains.net/goto/1/lho12/21/?tr=export,vlq.com,vlq,com,vlq.com,vlq,3,10,0,0,0,0,4/1/2001,53,3/8/2000,"DYNADOT, LLC",0,0,no,no,4/7/2014,registered,registered,registered,available,registered,registered,registered,available,registered,available,registered,registered,registered,registered,available,available,registered,available,registered,available,available,registered,registered,available,registered,available,available,available,registered,registered,registered,available,31,19,13,590,0,0.06 USD,20,0,0.00 EUR,90,0,0.00 USD,20,0,0.00 GBP,0,0,0,0,available,available,4,0,0,10,2,2,4,4,4,-,0,0,0,0,4,3,0,4,2,,0,"[English - 70.00%], [Japanese - 20.00%], [Chinese - 10.00%]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,250,USD,457,0,0,12/2/2019 02:22
https://www.expireddomains.net/goto/1/kws61/21/?tr=export,juqs.com,juqs,com,juqs.com,juqs,4,0,0,0,0,0,2/15/2010,42,10/30/2006,Google LLC,0,0,no,no,8/19/2011,registered,registered,registered,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,registered,available,available,available,5,4,28,90,0,0.00 USD,0,0,0.00 EUR,0,0,0.00 USD,0,0,0.00 GBP,0,0,0,0,available,taken,0,0,0,0,2,2,0,0,0,-,0,0,0,0,0,0,0,0,0,,0,[Russian - 100.00%],3,0,0,0,0,0,0,0,0,0,0,0,0,18,8,10,11,6,6,18,8,10,0,,,,20,USD,449,0,0,12/31/2019 23:00
https://www.expireddomains.net/goto/1/l1vrw/21/?tr=export,mph.com,mph,com,mph.com,mph,3,89,2,2,5,2,12/29/1996,232,2/3/1996,"NameCheap, Inc.",0,0,no,no,1/20/2018,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,registered,available,registered,registered,registered,registered,registered,130,31,1,110000,6,0.24 USD,3600,1,0.39 EUR,33100,9,4.36 USD,2900,2,0.96 GBP,0,0,0,0,available,taken,8,2,4,89,30,29,16,16,16,2 - Computers/Internet/On the Web (100.00%),1,1,0,18,16,11,0,16,5,,0,"[English - 79.00%], [Chinese - 10.00%], [Japanese - 2.00%], [Spanish/Castilian - 2.00%], [Dutch/Flemish - 1.00%], [German - 1.00%], [Italian - 1.00%], [Russian - 1.00%], [Swedish - 1.00%]",215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,20,USD,444,0,0,1/8/2020 03:30
